objectid,pre_dir_tx,pre_type_t,name_tx,suf_type_t,suf_dir_tx,suffix_tx,full_name,new_nm_id,globalid,str_nm_id,usps_name
459058,,,STRATHMORE,RD,,,STRATHMORE RD,752140,02e85a1a-7ff7-47b3-afa6-9e744c3760de,1858,STRATHMORE RD
459059,,,STRATTON,RD,,,STRATTON RD,796355,f6d07027-426a-4828-881a-b8abed26084f,1859,STRATTON RD
459060,,,STURGIS,ST,,,STURGIS ST,774277,73395c8e-b157-4075-8c20-19fb2ac9257f,1860,STURGIS ST
459061,,,SUDBURY,ST,,,SUDBURY ST,742222,e23535d0-6ee5-4dae-97b1-64de394b418a,1862,SUDBURY ST
459062,,,SUFFIELD,ST,,,SUFFIELD ST,759161,61f6d081-72e0-4fb1-92af-14e42326735e,1863,SUFFIELD ST
459063,,,SULTAN,ST,,,SULTAN ST,793202,cffaa49e-e001-4786-aee7-43c78da0b4eb,1865,SULTAN ST
459064,,,SUMMER,ST,,,SUMMER ST,761221,7a51be15-4c65-435b-82d4-dba593c72d3f,1866,SUMMER ST
459065,,,PAPINEAU,AVE,,,PAPINEAU AVE,630092,e69f4826-9e80-4fb8-943b-7213fe68811e,1510,PAPINEAU ST
459066,,,SUMMERHILL,AVE,,,SUMMERHILL AVE,758364,9524b9d0-d546-4bd4-962a-e0e1061e8483,1868,SUMMERHILL AVE
459067,,,SUMMIT,ST,,,SUMMIT ST,752188,804146cd-8cf4-43a4-9a4c-45967709430e,1869,SUMMIT ST
459068,,,SUN VALLEY,DR,,,SUN VALLEY DR,698263,70e0948f-8131-4c3a-83fc-88f15df8b9f8,1870,SUN VALLEY DR
459069,,,SUNDERLAND,RD,,,SUNDERLAND RD,862136,fa886594-3404-4f52-98a8-89b266fa1a01,1871,SUNDERLAND RD
459070,,,SUNDERLAND,TER,,,SUNDERLAND TER,903132,5dcb1eb3-dc73-47c1-8840-a1b04422d277,1872,SUNDERLAND TER
459071,,,SUNNYHILL,DR,,,SUNNYHILL DR,535276,3dd08e29-a014-47b4-b562-c889dd36115f,1873,SUNNY HILL DR
459072,,,SUNNYSIDE,AVE,,,SUNNYSIDE AVE,598199,935f93ae-f8a8-41e3-9641-dee531519aa1,1874,SUNNYSIDE AVE
459073,,,SUNNYVIEW,HTS,,,SUNNYVIEW HTS,532283,582bd982-df64-4f9e-840e-846af3766425,1875,SUNNYVIEW HTS
459074,,,SUNRISE,AVE,,,SUNRISE AVE,730403,f8f3b5a6-2bc0-43cb-bc79-8f9eded80dd5,1876,SUNRISE AVE
459075,,,SUPERIOR,RD,,,SUPERIOR RD,834195,5d4b1d30-0bd2-4ca9-b4ad-eb40ef091fd9,1878,SUPERIOR RD
459076,,,SURREY,LN,,,SURREY LN,686290,8b70053d-6046-4a2b-9e7e-542d59b26ef2,1879,SURREY LN
459077,,,SUSSEX,LN,,,SUSSEX LN,543285,08e072a0-7eef-477a-a171-69316818adaf,1880,SUSSEX LN
459078,,,SUTTON,PL,,,SUTTON PL,682126,55d87a1a-fe0e-4e94-a362-57ce67465f38,1882,SUTTON PL
459079,,,SVEA,ST,,,SVEA ST,758131,350e588d-938d-4def-9fe4-62de355c9d23,1883,SVEA ST
459080,,,SWAN,AVE,,,SWAN AVE,595192,455408fb-f18b-4f85-bf9d-50c7540f4384,1886,SWAN AVE
459081,,,SWEETBRIAR,LN,,,SWEETBRIAR LN,618197,125d5539-f357-480b-99e5-8225a9f894aa,1887,SWEETBRIAR LN
459082,,,SYCAMORE,ST,,,SYCAMORE ST,733191,685d1741-92f2-4629-baba-a57aa53e3aa4,1888,SYCAMORE ST
459083,,,SYLVAN,ST,,,SYLVAN ST,618139,4ae15d69-935e-4d41-8cdd-bc05a2a18528,1889,SYLVAN ST
459084,,,SYME,ST,,,SYME ST,763148,c8ea3078-6c9e-4bb1-9286-7b028b9ac761,1890,SYME ST
459085,,,TACONIC,RD,,,TACONIC RD,853282,4fc18202-6e60-4aea-9575-2df55b8a6ff5,1892,TACONIC RD
459086,,,TAHANTO,RD,,,TAHANTO RD,654243,c8e5b7c2-572c-47e2-8e7a-d95b70f890db,1893,TAHANTO RD
459087,,,BLAIR,ST,,,BLAIR ST,643271,730385a6-bbe1-4073-943e-9ede5314dce0,236,BLAIR ST
459088,,,BLAKE,ST,,,BLAKE ST,763180,7a519ab7-7005-414f-a0e8-12259f803ed9,237,BLAKE ST
459089,,,BLANCHE,ST,,,BLANCHE ST,761173,2fdc02e9-b331-49da-aa15-d081b0b7f85f,238,BLANCHE ST
459090,,,BLEEKER,ST,,,BLEEKER ST,793192,55da8960-9d1f-4cc7-9784-49ad979a7640,239,BLEEKER ST
459091,,,BLITHEWOOD,AVE,,,BLITHEWOOD AVE,861111,9ece2e77-7969-42ea-9b4d-295d33a9dadf,241,BLITHEWOOD AVE
459092,,,GRAFTON,ST,,,GRAFTON ST,830163,7453f806-501e-489b-b35f-1c92d2af06af,840,GRAFTON ST
459093,,,GRAHAM,ST,,,GRAHAM ST,608105,760ee9c1-8f52-4e9d-b3e7-05176355c49a,841,GRAHAM ST
459094,,,GRAMMONT,RD,,,GRAMMONT RD,765122,ca472eff-dd59-445f-a4b5-1b7fd049cc54,842,GRAMMONT RD
459095,,,GRANBY,RD,,,GRANBY RD,814243,347d1a74-44cd-42a3-9b37-a605c3c91c5d,843,GRANBY RD
459096,,,GRAND,ST,,,GRAND ST,702155,b3c06590-89da-4c03-bc62-55181d94c654,844,GRAND ST
459097,,,GRAND VIEW,AVE,,,GRAND VIEW AVE,611120,e261990c-7091-4746-b21f-8e83f07e6a02,846,GRANDVIEW AVE
459098,,,GRANITE,ST,,,GRANITE ST,797097,c34d3af8-29be-4c32-9849-04865cb77a72,847,GRANITE ST
459099,,,GRANVILLE,AVE,,,GRANVILLE AVE,769368,434edbe3-aedd-4db5-839f-25379d19dbaa,848,GRANVILLE AVE
459100,,,GRAYSTONE,CIR,,,GRAYSTONE CIR,786346,1928536d-f7df-42a6-b356-300cc8a0faf8,849,GRAYSTONE CIR
459101,,,GREAT BROOK VALLEY,AVE,,,GREAT BROOK VALLEY AVE,843357,a72ea197-f09b-4b84-9074-22482286b329,850,GREAT BROOK VALLEY AVE
459102,,,GREAT POST,RD,,,GREAT POST RD,579129,3d783212-d0c4-47e9-b09a-c18a2cd54154,851,GREAT POST RD
459103,,,GREEN,ST,,,GREEN ST,754190,bbfe1423-4b55-48bd-815c-17fa73d7db2e,852,GREEN ST
459104,,,GREEN FARMS,RD,,,GREEN FARMS RD,666381,00cb22d3-e355-434f-9b5a-bf3966abcf66,853,GREEN FARMS RD
459105,,,GREEN HILL,PKWY,,,GREEN HILL PKWY,791277,afef35ab-ebbd-49f4-b2bc-ff775aac2bf8,854,GREEN HILL PKWY
459106,,,GREENBRIAR,LN,,,GREENBRIAR LN,659277,4a9f652c-48f5-4e56-a31b-7eecb26eee64,855,GREENBRIAR LN
459107,,,GREENBUSH,RD,,,GREENBUSH RD,838127,617f15d2-93ce-4745-a12b-db0658a25f52,856,GREENBUSH RD
459108,,,GREENCOURT,ST,,,GREENCOURT ST,836138,8ffe4ecf-5cff-4242-be0e-df4776c42d8f,857,GREENCOURT ST
459109,,,GREENDALE,AVE,,,GREENDALE AVE,762375,33864d8a-75d8-455d-a421-faacf298eb4c,858,GREENDALE AVE
459110,,,GREENFIELD,ST,,,GREENFIELD ST,815144,7ee1bc31-c3c6-46eb-a50f-b242a1abab7b,859,GREENFIELD ST
459111,,,GREENHALGE,ST,,,GREENHALGE ST,842121,04454df2-e9b8-40cc-8fd3-8676295e8577,860,GREENHALGE ST
459112,,,GREEN HILL,AVE,,,GREEN HILL AVE,814298,1944436b-74d6-4a70-9993-88e079ffba51,861,GREEN HILL AVE
459113,,,GREENLEAF,TER,,,GREENLEAF TER,675239,dc37af7c-4147-4c92-9e1e-9a876cb0a114,862,GREENLEAF TER
459114,,,GREENSIDE,LN,,,GREENSIDE LN,626299,1608c156-9875-4e0e-b3b0-48e2b3f172fd,863,GREENSIDE LN
459115,,,GREENVIEW,LN,,,GREENVIEW LN,628296,0575645b-7709-4efe-9499-e5309ee06243,864,GREEN VIEW LN
459116,,,GREENWICH,CT,,,GREENWICH CT,631362,759204db-777a-40bb-af59-39cafda7429f,865,GREENWICH CT
459117,,,GREENWOOD,ST,,,GREENWOOD ST,757058,3e809ae2-55fe-41fd-bbf0-910a9c443fa0,866,GREENWOOD ST
459118,,,GRENADA,ST,,,GRENADA ST,609274,f65bf5bd-4e26-44ff-858a-b54fce0342cf,867,GRENADA ST
459119,,,GREYBERT,LN,,,GREYBERT LN,609248,35bbe144-e992-4c12-b17b-5aece4eedb82,868,GREYBERT LN
459120,,,GROSVENOR,ST,,,GROSVENOR ST,743175,180dd339-3b9a-4afd-9c29-7316b0d4e7ee,869,GROSVENOR ST
459121,,,GROTON,PL,,,GROTON PL,787198,f8a6c4b2-a478-4a43-8c75-ac8768ef57de,870,GROTON PL
459122,,,GROUT,CT,,,GROUT CT,708169,e77929b2-39e3-4e5c-858f-c4feb1c526bc,871,GROUT CT
459123,,,GROVE,ST,,,GROVE ST,705318,9a6d9a15-6cc7-49cc-9b5e-45e9f5d26aad,872,GROVE ST
459124,,,GROVE HEIGHTS,DR,,,GROVE HEIGHTS DR,683374,a8a2cd5b-f83f-4cd7-8f20-0b4108425824,874,GROVE HEIGHTS DR
459125,,,GUILFORD,ST,,,GUILFORD ST,767467,b323107c-d298-4cb6-9755-9aa97a2823b9,876,GUILFORD ST
459126,,,GUNNARSON,RD,,,GUNNARSON RD,771386,6ce85388-6f5e-453d-8a41-77893016157e,878,GUNNARSON RD
459127,,,HACKER,CT,,,HACKER CT,700143,a7917c97-cb94-42e5-80ee-0bdef04a940f,879,HACKER CT
459128,,,HACKFELD,RD,,,HACKFELD RD,715242,00f3fa31-c730-48d8-a086-8d38407a67a2,881,HACKFELD RD
459129,,,HADWEN,LN,,,HADWEN LN,664236,d067a7ca-8a1d-4e2b-88d1-c5eabea56455,882,HADWEN LN
459130,,,TOWER,ST,,,TOWER ST,732324,40dd1503-e2d9-4ff3-a722-18724fb5ae63,1937,TOWER ST
459131,,,TREVOR,LN,,,TREVOR LN,663371,65db0fb7-737b-4a87-846c-f5476f537cc1,1944,TREVOR LN
459132,,,TRISTAN,CT,,,TRISTAN CT,629285,d3086b19-bc6b-44f5-884f-2d557076c129,1947,TRISTAN CT
459133,,,TRURO,ST,,,TRURO ST,630107,dc48b72c-542b-4e6e-b669-a910a6782ecb,1950,TRURO ST
459134,,,TUPELO,RD,,,TUPELO RD,779410,f67a1a88-c5f7-4835-b6fe-9e0680bfc0df,1954,TUPELO RD
459135,,,VALLEY HILL,LN,,,VALLEY HILL LN,693261,664d7ce1-2e89-4535-bd0d-bde6252a1064,1977,VALLEY HILL LN
459136,,,VALLEY VIEW,LN,,,VALLEY VIEW LN,833138,9119d52d-999d-4ccf-836a-e6da21eb963b,1978,VALLEY VIEW LN
459137,,,VALMOR,ST,,,VALMOR ST,839158,97cb5250-2912-4093-b319-dbd042046887,1979,VALMOR ST
459138,,,VAN,ST,,,VAN ST,644221,4d7e2e29-3f5e-4765-901f-a5eae7a53d81,1980,VAN ST
459139,,,VARNEY,ST,,,VARNEY ST,802331,b22f21ba-f8b3-4d45-a9ab-995cffa5e8a5,1981,VARNEY ST
459140,,,VARNUM,ST,,,VARNUM ST,626127,8272f220-40b9-455c-bde4-c7d4ae41653c,1982,VARNUM ST
459141,,,VASSAR,ST,,,VASSAR ST,667266,e5a48918-2c80-405f-90f0-3b810ef0cecd,1983,VASSAR ST
459142,,,VEGA,LN,,,VEGA LN,681381,6032deff-0bcb-42bf-8a5d-8fdbeb50b118,1985,VEGA LN
459143,,,VELANDER,ST,,,VELANDER ST,785259,6fcb3c8a-3069-4242-9314-f34c79821204,1986,VELANDER ST
459144,,,VENDORA,RD,,,VENDORA RD,768427,1cd17ac4-39d3-479c-bd29-7f696f6a37a1,1987,VENDORA RD
459145,,,VENTURA,RD,,,VENTURA RD,813243,812fcfe1-234b-4fa3-b9ac-ec4fd87c88e0,1988,VENTURA RD
459146,,,VENUS,DR,,,VENUS DR,671385,c9e948dc-8da5-4d51-9743-b256b86c17cb,1989,VENUS DR
459147,,,VERDI,RD,,,VERDI RD,792227,0afa5d7d-7ac1-49f4-beaf-0bc303861515,1990,VERDI RD
459148,,,VERMONT,AVE,,,VERMONT AVE,606164,8d1022ab-3209-406e-8507-118ea7cd65eb,1991,VERMONT AVE
459149,,,VERNON,ST,,,VERNON ST,762147,d96ed923-c678-4c51-9941-f76633aeab69,1992,VERNON ST
459150,,,VERNON,TER,,,VERNON TER,763166,c4c2a85f-bc3b-4344-a457-3e1f22ec654e,1994,VERNON TER
459151,,,VESPER,ST,,,VESPER ST,639266,ba253018-7a59-4d13-b9ba-d3a7662167dc,1995,VESPER ST
459152,,,POLLOCK,ST,,,POLLOCK ST,842228,51f42896-b811-4726-9aa2-312ec8c1082e,1583,POLLOCK ST
459153,,,POMONA,RD,,,POMONA RD,608268,77bce9f1-da90-4a59-9920-2a6b0f1dadef,1584,POMONA RD
459154,,,POMPANO,RD,,,POMPANO RD,796352,ccc8c790-f177-4f0d-b6bd-173222cd2bfc,1585,POMPANO RD
459155,,,POND,ST,,,POND ST,758189,8f43d653-74b1-4515-aa93-d675fcaaad9b,1586,POND ST
459156,,,PONIKEN,RD,,,PONIKEN RD,721369,09995c6f-42d0-4f25-bd12-f6f328d764a5,1587,PONIKEN RD
459157,,,POPLAR,ST,,,POPLAR ST,721321,f237bb83-3ea6-4a5f-ba85-e1c1d538ea6b,1588,POPLAR ST
459158,,,PORTER,ST,,,PORTER ST,876150,bb1a914f-f5ac-4552-a3fe-8d18283e660b,1589,PORTER ST
459159,,,PORTLAND,ST,,,PORTLAND ST,744201,42c97835-cc76-448c-8f62-ceb8c71d860f,1590,PORTLAND ST
459160,,,POTOMSKA,ST,,,POTOMSKA ST,629206,4ff3c3e0-f041-4fa9-a791-3fc9df7f73a7,1592,POTOMSKA ST
459161,,,POWERS,CT,,,POWERS CT,736279,7f7be5bf-4f33-4e5a-bd47-8213a940af74,1593,POWERS CT
459162,,,PRATT,RD,,,PRATT RD,704417,d1cd6719-f5b3-4192-b591-18eebeced99e,1594,PRATT RD
459163,,,PRATT,ST,,,PRATT ST,723281,d2e097b9-e3ef-406a-a67c-b34f07b35eeb,1595,PRATT ST
459164,,,PRENTICE,ST,,,PRENTICE ST,817244,e38087f9-c402-43eb-91be-84e01762fc18,1596,PRENTICE ST
459165,,,PRESCOTT,ST,,,PRESCOTT ST,750265,5039781f-b1b6-47a7-ab9f-fa179f0e7ab7,1597,PRESCOTT ST
459166,,,PRESTON,ST,,,PRESTON ST,719194,e6a016f3-f76d-4fbf-a224-db23cdca9ec9,1598,PRESTON ST
459167,,,PRIMROSE,ST,,,PRIMROSE ST,834131,779d81f7-6a9a-49b0-ae73-f5ccb8d4904e,1599,PRIMROSE ST
459168,,,PRINCETON,ST,,,PRINCETON ST,717145,fb19a182-8059-425f-94e9-5e32448b18a7,1600,PRINCETON ST
459169,,,PRIOULX,ST,,,PRIOULX ST,747293,6330a57d-41ef-4035-b345-d692e7ec26d6,1601,PRIOULX ST
459170,,,PROCTOR,ST,,,PROCTOR ST,728325,f0dcf9d2-12dd-4d55-9e60-b00de779c2de,1602,PROCTOR ST
459171,,,PROGRESSIVE,ST,,,PROGRESSIVE ST,845157,5594af02-569e-4747-966b-f93788d2417e,1603,PROGRESSIVE ST
459172,,,CARBON,ST,,,CARBON ST,757243,654cf335-ec43-4e4f-aeae-c66c513dcff7,347,CARBON ST
459173,,,CARGILL,AVE,,,CARGILL AVE,755140,771e7fcc-8442-4015-b689-b9ebe3a07ce1,349,CARGILL AVE
459174,,,CARLETON,ST,,,CARLETON ST,629114,e4d83878-3f38-4cb7-a4d0-e28ce67ad4c2,351,CARLETON ST
459175,,,CARLISLE,ST,,,CARLISLE ST,666214,05a5caab-47fe-406a-90b5-e881f8281dc1,352,CARLISLE ST
459176,,,LODI,ST,,,LODI ST,741175,86fa03ec-5d33-4510-bad5-33a2c62a5c8b,1181,LODI ST
459177,,,LONG VUE,TER,,,LONG VUE TER,551276,04223e91-e39a-4624-832f-e3c6ce8aa44d,1182,LONG VUE TER
459178,,,NANITA,ST,,,NANITA ST,859178,7844e2ad-8224-4f8c-9618-119f6b8f4fed,1389,NANITA ST
459179,,,NAPLES,RD,,,NAPLES RD,764408,789389ab-052a-4ea1-9646-55e5e5b3c8e4,1390,NAPLES RD
459180,,,NARRAGANSETT,AVE,,,NARRAGANSETT AVE,748076,ddbdf93c-eb42-41d4-a5fc-778e6cbca05d,1391,NARRAGANSETT AVE
459181,,,NASHOBA,PL,,,NASHOBA PL,725367,74ac0471-799d-4ef8-bb92-faeb7aea4c8f,1392,NASHOBA PL
459182,,,NASHUA,ST,,,NASHUA ST,752285,6ef7249a-fc30-4553-abb5-92b6e8a05eeb,1393,NASHUA ST
459183,,,LAMAR,AVE,,,LAMAR AVE,817158,91b8934f-adaf-4de9-9f49-f85513069dea,1124,LAMAR AVE
459184,,,ROSEMARY,ST,,,ROSEMARY ST,814210,b5b09123-2d55-4273-8723-b6a94d28af3c,1698,ROSEMARY ST
459185,,,SHEFFIELD,RD,,,SHEFFIELD RD,711264,7ed040d1-63b3-49af-8525-c8acc498ab67,1771,SHEFFIELD RD
459186,,,SHELBY,PL,,,SHELBY PL,771228,6f420969-904e-4e6c-9bc9-b76ab53aa0e9,1772,SHELBY PL
459187,,,SHELBY,ST,,,SHELBY ST,772227,48ca01a5-f1b8-4bf8-8363-b0359c35e57e,1773,SHELBY ST
459188,,,SHEPARD,ST,,,SHEPARD ST,709183,8ae36d15-1ae9-4be4-ab86-10ce6e95b2be,1774,SHEPARD ST
459189,,,SHERBROOK,AVE,,,SHERBROOK AVE,865225,ffb36699-ce3c-46bb-834e-dccaf1c512d5,1775,SHERBROOK AVE
459190,,,SHERBURNE,AVE,,,SHERBURNE AVE,733335,4a476075-5590-4aa5-a2bf-1f9ebe972d7b,1776,SHERBURNE AVE
459191,,,SHERER,TRAIL,,,SHERER TRAIL,610159,6740a043-14ea-487d-85dd-005fda554505,1777,SHERER TRL
459192,,,SHERIDAN,ST,,,SHERIDAN ST,730141,82ed9d6e-5287-4003-bb41-167241ad2062,1778,SHERIDAN ST
459193,,,SHERMAN,ST,,,SHERMAN ST,732140,c3305fb4-08cb-459f-9047-6e5e83f0f9c7,1779,SHERMAN ST
459194,,,SHERWOOD,RD,,,SHERWOOD RD,648231,3980e872-2d42-44eb-a059-632b5668962a,1781,SHERWOOD RD
459195,,,SHIRLEY,ST,,,SHIRLEY ST,680173,2633c696-678d-462f-acc4-850e904ae26c,1782,SHIRLEY ST
459196,,,ROSEMONT,RD,,,ROSEMONT RD,722300,48896a11-2fc1-48a7-9893-b1b68ed1359b,1699,ROSEMONT RD
459197,,,ROSEWOOD,DR,,,ROSEWOOD DR,646205,70117a4d-95f3-4b69-b370-dc1c8864a598,1700,ROSEWOOD DR
459198,,,ROSITA,RD,,,ROSITA RD,727313,aa80889d-61df-46d3-aaea-2e3f4f7d3716,1701,ROSITA RD
459199,,,ROSSLARE,DR,,,ROSSLARE DR,645195,af705794-4c78-417e-a59e-4ce9353b450c,1702,ROSSLARE DR
459200,,,ROWENA,ST,,,ROWENA ST,788385,6a6805a6-aec4-4d5e-af7a-ffb93b780e43,1703,ROWENA ST
459201,,,ROXBURY,ST,,,ROXBURY ST,715232,2357cc01-f8d4-46dd-8e1a-c791a903659d,1704,ROXBURY ST
459202,,,ROY,ST,,,ROY ST,668185,7719f3ad-fa90-4735-9b5d-1fdd567779ca,1705,ROY ST
459203,,,ROYAL,RD,,,ROYAL RD,641094,ab90cc24-525f-4716-9c96-bdc781a24bfa,1706,ROYAL RD
459204,,,ROYCROFT,RD,,,ROYCROFT RD,763408,aa367bec-0e1b-4e5f-9272-ac47cb8aa5f3,1707,ROYCROFT RD
459205,,,RUDOLPH,ST,,,RUDOLPH ST,832158,e61b56d8-5b29-421d-bb6e-149c9fc01456,1708,RUDOLPH ST
459206,,,RUGBY,ST,,,RUGBY ST,802168,143c367f-d6c8-4d6a-8c94-70a9a413aa19,1709,RUGBY ST
459207,,,RUMFORD,AVE,,,RUMFORD AVE,730270,73f0d688-c6ef-4f98-93cc-aa01f18ef0db,1710,RUMFORD AVE
459208,,,RUPERT,ST,,,RUPERT ST,649215,2e545ecf-e433-4c10-8236-717794cac162,1711,RUPERT ST
459209,,,RURAL,ST,,,RURAL ST,880134,410cc479-5ead-4329-aa53-a4b3d3add277,1712,RURAL ST
459210,,,RUSSELL,ST,,,RUSSELL ST,708226,8e15e62e-e8e0-4d7c-a04e-089b8a8704af,1713,RUSSELL ST
459211,,,RUSSELL CALVIN,DR,,,RUSSELL CALVIN DR,661372,fe2856fb-4911-4cfe-8c62-ab1723bfa20c,1714,RUSSELL CALVIN DR
459212,,,RUSTIC,DR,,,RUSTIC DR,634278,e9abe9ff-cbef-4952-ab73-55935aede900,1715,RUSTIC DR
459213,,,RUTH,ST,,,RUTH ST,646219,200aa491-684a-4bf3-9b4b-e09f678636d7,1716,RUTH ST
459214,,,CATALPA,CIR,,,CATALPA CIR,628146,854722bf-3d5f-4c3d-b9a2-629120ef1d38,368,CATALPA CIR
459215,,,CATALPA,ST,,,CATALPA ST,634145,cdd5e522-16fa-4748-aa93-1bf1f52d2b1c,369,CATALPA ST
459216,,,CATARACT,ST,,,CATARACT ST,579294,5f8c59da-ba53-45ce-80d9-5aded35f4e0a,370,CATARACT ST
459217,,,CATAUMET,ST,,,CATAUMET ST,791363,cfe72640-242a-4f96-92d2-28cebf25a1a1,371,CATAUMET ST
459218,,,CATHARINE,ST,,,CATHARINE ST,773254,44df2f6a-e046-4e9a-a281-390174da6ca3,372,CATHARINE ST
459219,,,CATON,RD,,,CATON RD,599300,b3cc928a-3600-4a44-a0c5-fcde42cbdd99,374,CATON RD
459220,,,CEDAR,ST,,,CEDAR ST,723223,8b0875e1-98b5-4ba4-8321-5098e699a313,375,CEDAR ST
459221,,,CENTER,ST,,,CENTER ST,614180,686e7463-e6e1-49df-9428-d10619bd09ac,376,CENTER ST
459222,,,CHADWICK,ST,,,CHADWICK ST,724296,e0f1dd44-f6b3-4639-9a4c-b88f7c6a5417,378,CHADWICK ST
459223,,,CHALMERS,RD,,,CHALMERS RD,679243,8814aa4a-d8a2-47fe-8d07-a60bf08910bc,379,CHALMERS RD
459224,,,CHAMBERLAIN,PKWY,,,CHAMBERLAIN PKWY,655248,25229176-8c9a-43cb-aadc-0defb6d5a0c5,380,CHAMBERLAIN PKWY
459225,,,CHAMBERS,ST,,,CHAMBERS ST,760438,4f21bb2f-6946-4463-bd52-2fe821af24c7,381,CHAMBERS ST
459226,,,CHANDLER,CT,,,CHANDLER CT,730200,d6ebe6ee-cda0-4ec2-83d7-946fcb3e5e3d,382,CHANDLER CT
459227,,,CHANDLER,ST,,,CHANDLER ST,656215,40eb2f85-7be0-4f59-8266-b51d44c5d61e,383,CHANDLER ST
459228,,,CHANNING,ST,,,CHANNING ST,775261,ec2902b5-239b-4bed-be5e-363092c13a7c,384,CHANNING ST
459229,,,CHANNING,WAY,,,CHANNING WAY,771250,644c4c08-807f-4457-bc07-eba62ba0425d,385,CHANNING WAY
459230,,,CHAPIN,ST,,,CHAPIN ST,773167,7311034e-d045-4e6b-aefd-d0a5696b3e58,386,CHAPIN ST
459231,,,CHARLOTTE,ST,,,CHARLOTTE ST,686176,a203ab91-1b57-494d-908c-a32318c463de,387,CHARLOTTE ST
459232,,,CHARLTON,ST,,,CHARLTON ST,731190,dc24abb9-229b-414f-bb76-415e0757039c,388,CHARLTON ST
459233,,,CHASE,CT,,,CHASE CT,740207,100d51ab-76f8-4224-97e7-165bea48e14b,389,CHASE CT
459234,,,CHATANIKA,AVE,,,CHATANIKA AVE,571277,137fdfa2-b922-4fe2-bcd7-7005dd1ee2fd,390,CHATANIKA AVE
